,UNIT_NAME,STAT_NAME,ITEM_CODE1,STAT_CODE,ITEM_CODE2,ITEM_CODE3,ITEM_NAME1,ITEM_NAME2,DATA_VALUE,ITEM_NAME3,TIME
129,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201510
130,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201511
131,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201512
132,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201601
133,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.75, ,201602
134,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201603
135,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201604
136,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201605
137,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201606
138,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201607
139,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201608
140,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201609
141,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201610
142,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201611
143,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201612
144,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201701
145,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201702
146,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201703
147,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201704
148,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201705
149,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201706
150,연%,2.6.한국은행 기준금리 및 여수신금리,0107000,098Y001, , ,무역금융지원 프로그램대출금리, ,0.5, ,201707
